latitude,longitude,velocity,direction,distance,dir_diff
35.1061363,129.0973511,17.0,177.0,3.825110759172509,1.0
35.1060944,129.0973511,17.0,177.0,4.659073862099526,0.0
35.1060486,129.0973663,17.0,176.0,5.277103386403024,-1.0
35.1059952,129.0973663,17.0,176.0,5.937817284182718,0.0
35.1059608,129.0973663,17.0,175.0,3.8251107605871573,-1.0
35.1059151,129.0973663,17.0,175.0,5.081615166394244,0.0
35.1058731,129.0973816,17.0,174.0,4.873174243693763,-1.0
35.1058273,129.0973816,17.0,175.0,5.092734674178635,1.0
35.1057854,129.0973816,17.0,175.0,4.659073862099526,0.0
35.1057396,129.0973816,17.0,175.0,5.092734674885959,0.0
35.1056976,129.0973969,17.0,175.0,4.873175099613011,0.0
35.1056519,129.0973969,17.0,175.0,5.081615167101568,0.0
35.1056099,129.0973969,17.0,175.0,4.670193369883917,0.0
35.1055641,129.0973969,17.0,175.0,5.092734674178635,0.0
35.1055222,129.0974121,17.0,175.0,4.859924661441991,0.0
35.1054688,129.0974121,17.0,175.0,5.937817284890042,0.0
35.1054306,129.0974121,17.0,174.0,4.2476520648818745,-1.0
35.1053886,129.0974274,17.0,174.0,4.873176605950106,0.0
35.1053429,129.0974274,17.0,175.0,5.081615167101568,1.0
35.1053009,129.0974121,17.0,175.0,4.87317703298546,0.0
35.1052551,129.0974274,16.0,174.0,5.279497783387996,-1.0
35.1052132,129.0974274,17.0,175.0,4.659073861392202,1.0
35.1051674,129.0974274,17.0,174.0,5.092734674885959,-1.0
35.1051254,129.0974426,16.0,175.0,4.8705875614849345,1.0
35.1050835,129.0974426,16.0,175.0,4.659073862099526,0.0
35.1050453,129.0974426,15.0,175.0,4.2476520648818745,0.0
35.1050072,129.0974426,15.0,174.0,4.23653255639016,-1.0
35.104969,129.0974579,14.0,173.0,4.469867138130319,-1.0
35.1049347,129.0974579,13.0,174.0,3.813991251388119,1.0
35.1049004,129.0974579,12.0,176.0,3.813991252095443,2.0
35.104866,129.0974579,12.0,179.0,3.825110759879833,3.0
35.1048355,129.0974579,11.0,183.0,3.3914499470934008,4.0
35.1048088,129.0974579,11.0,192.0,2.968908642091359,9.0
35.1047821,129.0974426,13.0,201.0,3.278962007815319,9.0
35.1047478,129.0974274,13.0,221.0,4.0569032830692535,20.0
35.1047287,129.0973969,13.0,232.0,3.4941062926337527,11.0
35.1047058,129.0973511,14.0,249.0,4.882898214729235,17.0
35.1046982,129.0973206,14.0,260.0,2.9003988081446965,11.0
35.1046944,129.0972748,14.0,270.0,4.187750997232154,10.0
35.1046982,129.097229,14.0,273.0,4.187750999534996,3.0
35.1046982,129.0971832,14.0,273.0,4.166379299872231,0.0
35.104702,129.0971375,14.0,272.0,4.178700431918396,-1.0
35.104702,129.0971069,12.0,268.0,2.7836506686983773,-4.0
35.1046982,129.0970612,13.0,266.0,4.178700431918396,-2.0
35.1046982,129.0970306,11.0,266.0,2.7836507984732055,0.0
35.1046944,129.0969849,14.0,266.0,4.178700627041815,0.0
35.1046944,129.0969391,13.0,266.0,4.1663794941103545,0.0
35.1046906,129.0969086,14.0,266.0,2.806544417213569,0.0
35.1046906,129.0968628,14.0,266.0,4.166379688348458,0.0
35.1046867,129.096817,14.0,266.0,4.188887947724954,0.0
35.1046829,129.0967712,14.0,265.0,4.187751582058081,-1.0
35.1046829,129.0967255,14.0,264.0,4.15728318239102,-1.0
35.1046791,129.0966797,15.0,263.0,4.187751775304872,-1.0
35.1046715,129.0966339,15.0,264.0,4.251222276095206,1.0
35.1046715,129.0965881,14.0,265.0,4.166380664650232,1.0
35.1046677,129.0965424,14.0,266.0,4.178701979557137,1.0
35.1046638,129.0964813,14.0,263.0,5.575098723493023,-3.0
35.10466,129.0964508,15.0,262.0,2.806545446847437,-1.0
35.1046524,129.0963898,15.0,259.0,5.613091284401192,-3.0
35.1046448,129.0963593,15.0,261.0,2.9004005469930445,2.0
35.104641,129.0963135,15.0,263.0,4.1877537128572255,2.0
35.1046333,129.0962524,15.0,262.0,5.623768115945223,-1.0
35.1046295,129.0962067,13.0,263.0,4.178703917909586,1.0
35.1046257,129.0961761,15.0,264.0,2.815540151636021,1.0
35.1046219,129.0961304,16.0,266.0,4.178704305852962,2.0
35.1046181,129.0960693,16.0,267.0,5.574247920918742,1.0
35.1046181,129.0960236,16.0,270.0,4.157286487426372,3.0
35.1046181,129.0959778,16.0,268.0,4.166383394203517,-2.0
35.1046181,129.0959167,16.0,267.0,5.558210158882374,-1.0
35.1046143,129.095871,15.0,266.0,4.178704691493473,-1.0
35.1046104,129.0958099,15.0,265.0,5.575102351542891,-1.0
35.1046066,129.0957794,15.0,265.0,2.806547246238232,0.0
35.1046066,129.0957184,15.0,266.0,5.549114035015821,1.0
35.1046028,129.0956879,16.0,267.0,2.806547374007773,1.0
35.1046028,129.0956421,15.0,268.0,4.166384176265869,1.0
35.104599,129.0955963,14.0,266.0,4.187755848739596,-2.0
35.104599,129.0955505,12.0,267.0,4.166384370503532,1.0
35.1045952,129.0955048,7.0,264.0,4.178705662971442,-3.0
35.1045952,129.0954895,3.0,266.0,1.391827153395389,2.0
35.1045952,129.0954895,1.0,263.0,0.0,-3.0
35.1045952,129.0954895,0.0,0.0,0.0,-263.0
35.1045952,129.0954895,1.0,265.0,0.0,265.0
35.1045952,129.0954742,5.0,261.0,1.391827158024704,-4.0
35.1045914,129.095459,7.0,255.0,1.4458506786017025,-6.0
35.1045876,129.0954285,10.0,253.0,2.8065478878000567,-2.0
35.1045799,129.0953979,12.0,259.0,2.912355675715063,6.0
35.1045723,129.0953522,13.0,262.0,4.242312266457796,3.0
35.1045685,129.0953217,12.0,264.0,2.8065485284696656,2.0
35.1045647,129.0952759,13.0,264.0,4.187757595344734,0.0
35.1045647,129.0952301,13.0,265.0,4.166386121438525,1.0
35.1045609,129.0951996,13.0,266.0,2.8065487840084957,1.0
35.104557,129.0951538,13.0,265.0,4.188894541743826,-1.0
35.104557,129.095108,13.0,266.0,4.166386515024976,1.0
35.104557,129.0950775,12.0,267.0,2.7745587070276976,1.0
35.1045532,129.0950317,12.0,268.0,4.187758180168787,1.0
35.1045532,129.0950012,12.0,268.0,2.7745588340633,0.0
35.1045532,129.0949554,12.0,269.0,4.166386711577076,1.0
35.1045532,129.0949249,11.0,274.0,2.7745588363779587,5.0
35.104557,129.0948792,12.0,281.0,4.178707789534787,7.0
35.1045647,129.0948486,12.0,290.0,2.912356425220738,9.0
35.1045761,129.0948181,12.0,296.0,3.05041700088911,6.0
35.1045952,129.0947723,13.0,307.0,4.67647318216671,11.0
35.1046143,129.0947418,13.0,314.0,3.4941099015345736,7.0
35.1046371,129.0947113,15.0,319.0,3.7584098491839066,5.0
35.1046715,129.0946808,17.0,325.0,4.725423787402548,6.0
35.1047173,129.0946503,18.0,331.0,5.799491056467771,6.0
35.1047478,129.0946198,18.0,332.0,4.3817890869834395,1.0
35.1047897,129.0946045,18.0,330.0,4.8625244308931,-2.0
35.1048317,129.094574,17.0,330.0,5.432203439629827,0.0
35.104866,129.0945435,17.0,328.0,4.716423450277016,-2.0
35.1049042,129.0945129,17.0,324.0,5.0785061074919176,-4.0
35.1049385,129.0944824,16.0,320.0,4.716421998483923,-4.0
35.104969,129.0944519,15.0,316.0,4.381784318690056,-4.0
35.1049995,129.0944061,14.0,306.0,5.372199491468651,-10.0
35.1050148,129.0943756,14.0,297.0,3.254606074796653,-9.0
35.1050262,129.0943298,14.0,281.0,4.354933935265342,-16.0
35.1050301,129.0942993,14.0,265.0,2.8082287544341313,-16.0
35.1050224,129.0942535,14.0,245.0,4.253429062594782,-20.0
35.1050034,129.0942078,15.0,220.0,4.663302732174141,-25.0
35.104969,129.0941925,15.0,200.0,4.070459013834326,-20.0
35.1049347,129.0941772,15.0,179.0,4.06001171808174,-21.0
35.1048927,129.0941772,17.0,165.0,4.670193369883917,-14.0
35.1048508,129.0941925,17.0,158.0,4.862523926786958,-7.0
35.1048126,129.094223,17.0,164.0,5.073526603362073,6.0
35.1047707,129.094223,15.0,173.0,4.659073862099526,9.0
35.1047363,129.0942383,14.0,175.0,4.0704603725089585,2.0
35.104702,129.0942383,12.0,173.0,3.813991251388119,-2.0
35.1046715,129.0942383,10.0,172.0,3.3914499470934008,-1.0
35.1046524,129.0942383,4.0,173.0,2.1238260327945993,1.0
35.1046448,129.0942383,1.0,171.0,0.8450826092967596,-2.0
35.1046448,129.0942383,0.0,175.0,0.0,4.0
35.1046371,129.0942383,2.0,174.0,0.4336608134937561,1.0
35.1046295,129.0942383,3.0,174.0,0.8450826092967596,0.0
35.1046219,129.0942383,5.0,174.0,0.8450826100040837,0.0
35.1046066,129.0942383,5.0,175.0,1.7012847277925576,1.0
35.1045914,129.0942535,6.0,176.0,2.183712717667375,1.0
35.1045761,129.0942535,7.0,175.0,1.7012847263779094,-1.0
35.104557,129.0942535,8.0,177.0,2.1238260327945993,2.0
35.1045341,129.0942535,5.0,174.0,2.5463673370893174,-3.0
35.1045265,129.0942535,2.0,176.0,0.8450826107114078,2.0
35.1045227,129.0942535,0.0,178.0,0.42254130500204184,2.0
35.1045189,129.0942535,1.0,183.0,0.42254130429471776,5.0
35.1045151,129.0942535,1.0,186.0,0.42254130500204184,3.0
35.1045113,129.0942535,1.0,181.0,0.42254130500204184,-5.0
35.1045074,129.0942535,1.0,187.0,0.433660812079108,6.0
35.1045036,129.0942535,1.0,175.0,0.42254130570936593,-12.0
35.104496,129.0942535,3.0,181.0,0.8450826100040837,6.0
35.1044846,129.0942535,5.0,182.0,1.2676239142988015,1.0
35.1044693,129.0942535,6.0,185.0,1.7012847277925576,3.0
35.1044502,129.0942535,9.0,182.0,2.1238260320872753,-3.0
