0,1,2,3,4
0.22322547,0.18017219,0.18341824,0.19537553,0.21780859
0.22881137,0.18716654,0.17751533,0.19417645,0.21233027
0.24319464,0.17998126,0.17393693,0.18706578,0.21582128
0.23687442,0.18170035,0.17182599,0.19347475,0.2161245
0.23897694,0.17487179,0.17214876,0.18981773,0.22418478
0.23162948,0.17703253,0.17155841,0.19951096,0.22026865
0.22726373,0.17410792,0.17863007,0.19365351,0.22634484
0.21010701,0.17484961,0.17066193,0.1965532,0.24782823
0.21390186,0.1648991,0.16819325,0.20908725,0.24391855
0.20256847,0.16630156,0.18390873,0.21082892,0.23639227
0.2049882,0.17878057,0.18180971,0.19936854,0.235053
0.21953274,0.18331237,0.17865232,0.20669247,0.21181008
0.22816361,0.17816672,0.18122408,0.1825087,0.22993696
0.23722875,0.19157626,0.17030711,0.20980085,0.19108702
0.24577937,0.18207385,0.1994886,0.17843984,0.1942184
0.22910887,0.20519415,0.16460823,0.17620993,0.22487874
0.25446787,0.16295247,0.15394446,0.1937733,0.23486191
0.20421658,0.15628017,0.1751187,0.20812269,0.2562619
0.20391446,0.17547199,0.18357114,0.22381209,0.21323034
0.20275077,0.18092762,0.20147832,0.18929636,0.2255469
0.21775705,0.19523577,0.1639106,0.19132914,0.2317674
0.22299026,0.16142422,0.17085509,0.20489454,0.2398359
0.19491313,0.1679965,0.17928062,0.20536943,0.2524403
0.19467348,0.17129943,0.17814526,0.21698524,0.23889667
0.20003903,0.17492175,0.19189687,0.20723523,0.22590712
0.21280889,0.19127826,0.1835298,0.19506727,0.21731587
0.23603345,0.18416251,0.17219651,0.18790774,0.21969986
0.23195364,0.17636925,0.17045805,0.19669177,0.2245273
0.22842011,0.17706273,0.1804359,0.2016954,0.21238582
0.22466974,0.18994868,0.18902649,0.1938193,0.20253578
0.23288149,0.18947943,0.17184858,0.1767671,0.22902347
0.2462699,0.17592683,0.15697627,0.19869243,0.22213463
0.23022325,0.1658925,0.18474814,0.20306803,0.21606812
0.20538037,0.18190575,0.17479503,0.18284126,0.25507754
0.22371463,0.16799113,0.15339458,0.2105239,0.2443758
0.20851316,0.15536572,0.18650411,0.21023947,0.2393775
0.18965614,0.1816159,0.1802912,0.20223291,0.24620381
0.20727904,0.17361057,0.17494139,0.2104389,0.23373008
0.20018755,0.16917282,0.18036018,0.19644107,0.25383842
0.19071148,0.17622073,0.17447555,0.22375196,0.23484024
0.20969331,0.175312,0.20182511,0.20790233,0.2052672
0.20261092,0.1952834,0.18196255,0.1784667,0.24167648
0.2351747,0.18328592,0.16043082,0.2154835,0.2056251
0.23320195,0.17056862,0.202975,0.19038099,0.20287341
0.21472988,0.20421517,0.16902597,0.17810668,0.23392232
0.2506923,0.17048186,0.16050538,0.20957807,0.20874234
0.21279806,0.16711034,0.195668,0.19282176,0.23160185
0.20616364,0.19420558,0.17096497,0.20330954,0.22535628
0.22068278,0.1604831,0.16934857,0.18579334,0.2636922
0.18850097,0.16152592,0.15989064,0.22613472,0.26394773
0.19221316,0.1591358,0.20454736,0.23694716,0.20715652
0.18775551,0.19748898,0.20767242,0.18108582,0.22599721
0.22262426,0.19459876,0.15359843,0.1893073,0.23987123
0.24386674,0.15484887,0.16633105,0.20744263,0.22751072
0.19384852,0.16976893,0.19011064,0.20768593,0.23858602
0.20726663,0.1826584,0.17756324,0.19968235,0.23282938
0.18755573,0.16114831,0.16951856,0.1975604,0.2842171
0.17119806,0.15258563,0.1636809,0.23215921,0.28037617
